Artikel-Nr	Artikelname	Einzelpreis	Anzahl	Rabatt	Bestelldatum	Kategoriename	Firma	Land	Nachname
11	Queso Cabrales	14	12	0%	04.08.2020	Milchprodukte	Vins et alcools Chevalier	Frankreich	Buchanan
42	Singaporean Hokkien Fried Mee	9,8	10	0%	04.08.2020	Getreideprodukte	Vins et alcools Chevalier	Frankreich	Buchanan
72	Mozzarella di Giovanni	24,3	5	0%	04.08.2020	Milchprodukte	Vins et alcools Chevalier	Frankreich	Buchanan
14	Tofu	18,6	9	0%	05.08.2020	Naturprodukte	Toms Spezialitäten	Deutschland	Suyama
51	Manjimup Dried Apples	42,4	40	0%	05.08.2020	Naturprodukte	Toms Spezialitäten	Deutschland	Suyama
41	Jack's New England Clam Chowder	7,7	10	0%	08.08.2020	Meeresfrüchte	Hanari Carnes	Brasilien	Peacock
51	Manjimup Dried Apples	42,4	35	15%	08.08.2020	Naturprodukte	Hanari Carnes	Brasilien	Peacock
65	Louisiana Fiery Hot Pepper Sauce	16,8	15	15%	08.08.2020	Gewürze	Hanari Carnes	Brasilien	Peacock
22	Gustaf's Knäckebröd	16,8	6	5%	08.08.2020	Getreideprodukte	Victuailles en stock	Frankreich	Leverling
57	Ravioli Angelo	15,6	15	5%	08.08.2020	Getreideprodukte	Victuailles en stock	Frankreich	Leverling
65	Louisiana Fiery Hot Pepper Sauce	16,8	20	0%	08.08.2020	Gewürze	Victuailles en stock	Frankreich	Leverling
20	Sir Rodney's Marmalade	64,8	40	5%	09.08.2020	Süßwaren	Suprêmes délices	Belgien	Peacock
33	Geitost	2	25	5%	09.08.2020	Milchprodukte	Suprêmes délices	Belgien	Peacock
60	Camembert Pierrot	27,2	40	0%	09.08.2020	Milchprodukte	Suprêmes délices	Belgien	Peacock
31	Gorgonzola Telino	10	20	0%	10.08.2020	Milchprodukte	Hanari Carnes	Brasilien	Leverling
39	Chartreuse verte	14,4	42	0%	10.08.2020	Getränke	Hanari Carnes	Brasilien	Leverling
49	Maxilaku	16	40	0%	10.08.2020	Süßwaren	Hanari Carnes	Brasilien	Leverling
24	Guaraná Fantástica	3,6	15	15%	11.08.2020	Getränke	Chop-suey Chinese	Schweiz	Buchanan
55	Pâté chinois	19,2	21	15%	11.08.2020	Fleischprodukte	Chop-suey Chinese	Schweiz	Buchanan
74	Longlife Tofu	8	21	0%	11.08.2020	Naturprodukte	Chop-suey Chinese	Schweiz	Buchanan
2	Chang	15,2	20	0%	12.08.2020	Getränke	Richter Supermarkt	Schweiz	Dodsworth
16	Pavlova	13,9	35	0%	12.08.2020	Süßwaren	Richter Supermarkt	Schweiz	Dodsworth
36	Inlagd Sill	15,2	25	0%	12.08.2020	Meeresfrüchte	Richter Supermarkt	Schweiz	Dodsworth
59	Raclette Courdavault	44	30	0%	12.08.2020	Milchprodukte	Richter Supermarkt	Schweiz	Dodsworth
53	Perth Pasties	26,2	15	0%	15.08.2020	Fleischprodukte	Wellington Importadora	Brasilien	Leverling
77	Original Frankfurter grüne Soße	10,4	12	0%	15.08.2020	Gewürze	Wellington Importadora	Brasilien	Leverling
27	Schoggi Schokolade	35,1	25	0%	16.08.2020	Süßwaren	HILARIÓN-Abastos	Venezuela	Peacock
39	Chartreuse verte	14,4	6	0%	16.08.2020	Getränke	HILARIÓN-Abastos	Venezuela	Peacock
77	Original Frankfurter grüne Soße	10,4	15	0%	16.08.2020	Gewürze	HILARIÓN-Abastos	Venezuela	Peacock
2	Chang	15,2	50	20%	17.08.2020	Getränke	Ernst Handel	Österreich	Davolio
5	Chef Anton's Gumbo Mix	17	65	20%	17.08.2020	Gewürze	Ernst Handel	Österreich	Davolio
32	Mascarpone Fabioli	25,6	6	20%	17.08.2020	Milchprodukte	Ernst Handel	Österreich	Davolio
21	Sir Rodney's Scones	8	10	0%	18.08.2020	Süßwaren	Centro comercial Moctezuma	Mexiko	Peacock
37	Gravad lax	20,8	1	0%	18.08.2020	Meeresfrüchte	Centro comercial Moctezuma	Mexiko	Peacock
41	Jack's New England Clam Chowder	7,7	16	25%	19.08.2020	Meeresfrüchte	Ottilies Käseladen	Deutschland	Peacock
57	Ravioli Angelo	15,6	50	0%	19.08.2020	Getreideprodukte	Ottilies Käseladen	Deutschland	Peacock
62	Tarte au sucre	39,4	15	25%	19.08.2020	Süßwaren	Ottilies Käseladen	Deutschland	Peacock
70	Outback Lager	12	21	25%	19.08.2020	Getränke	Ottilies Käseladen	Deutschland	Peacock
21	Sir Rodney's Scones	8	20	0%	19.08.2020	Süßwaren	Que Delícia	Brasilien	Peacock
35	Steeleye Stout	14,4	20	0%	19.08.2020	Getränke	Que Delícia	Brasilien	Peacock
5	Chef Anton's Gumbo Mix	17	12	20%	22.08.2020	Gewürze	Rattlesnake Canyon Grocery	USA	Callahan
7	Uncle Bob's Organic Dried Pears	24	15	0%	22.08.2020	Naturprodukte	Rattlesnake Canyon Grocery	USA	Callahan
56	Gnocchi di nonna Alice	30,4	2	0%	22.08.2020	Getreideprodukte	Rattlesnake Canyon Grocery	USA	Callahan
16	Pavlova	13,9	60	25%	23.08.2020	Süßwaren	Ernst Handel	Österreich	Dodsworth
24	Guaraná Fantástica	3,6	28	0%	23.08.2020	Getränke	Ernst Handel	Österreich	Dodsworth
30	Nord-Ost Matjeshering	20,7	60	25%	23.08.2020	Meeresfrüchte	Ernst Handel	Österreich	Dodsworth
74	Longlife Tofu	8	36	25%	23.08.2020	Naturprodukte	Ernst Handel	Österreich	Dodsworth
2	Chang	15,2	35	0%	24.08.2020	Getränke	Folk och fä HB	Schweden	Suyama
41	Jack's New England Clam Chowder	7,7	25	15%	24.08.2020	Meeresfrüchte	Folk och fä HB	Schweden	Suyama
17	Alice Mutton	31,2	30	0%	25.08.2020	Fleischprodukte	Blondel père et fils	Frankreich	Fuller
70	Outback Lager	12	20	0%	25.08.2020	Getränke	Blondel père et fils	Frankreich	Fuller
12	Queso Manchego La Pastora	30,4	12	5%	26.08.2020	Milchprodukte	Wartian Herkku	Finnland	Leverling
40	Boston Crab Meat	14,7	50	0%	29.08.2020	Meeresfrüchte	Frankenversand	Deutschland	Peacock
59	Raclette Courdavault	44	70	15%	29.08.2020	Milchprodukte	Frankenversand	Deutschland	Peacock
76	Lakkalikööri	14,4	15	15%	29.08.2020	Getränke	Frankenversand	Deutschland	Peacock
29	Thüringer Rostbratwurst	99	10	0%	30.08.2020	Fleischprodukte	GROSELLA-Restaurante	Venezuela	Callahan
72	Mozzarella di Giovanni	27,8	4	0%	30.08.2020	Milchprodukte	GROSELLA-Restaurante	Venezuela	Callahan
33	Geitost	2	60	5%	31.08.2020	Milchprodukte	White Clover Markets	USA	Buchanan
72	Mozzarella di Giovanni	27,8	20	5%	31.08.2020	Milchprodukte	White Clover Markets	USA	Buchanan
33	Geitost	2	24	0%	01.09.2020	Milchprodukte	Split Rail Beer & Ale	USA	Suyama
36	Inlagd Sill	15,2	30	0%	01.09.2020	Meeresfrüchte	Wartian Herkku	Finnland	Davolio
43	Ipoh Coffee	36,8	25	0%	01.09.2020	Getränke	Wartian Herkku	Finnland	Davolio
20	Sir Rodney's Marmalade	64,8	6	0%	02.09.2020	Süßwaren	Rattlesnake Canyon Grocery	USA	Suyama
31	Gorgonzola Telino	10	40	0%	02.09.2020	Milchprodukte	Rattlesnake Canyon Grocery	USA	Suyama
72	Mozzarella di Giovanni	27,8	24	0%	02.09.2020	Milchprodukte	Rattlesnake Canyon Grocery	USA	Suyama
10	Ikura	24,8	24	5%	05.09.2020	Meeresfrüchte	QUICK-Stop	Deutschland	Leverling
31	Gorgonzola Telino	10	15	5%	05.09.2020	Milchprodukte	QUICK-Stop	Deutschland	Leverling
33	Geitost	2	20	0%	05.09.2020	Milchprodukte	QUICK-Stop	Deutschland	Leverling
40	Boston Crab Meat	14,7	60	5%	05.09.2020	Meeresfrüchte	QUICK-Stop	Deutschland	Leverling
76	Lakkalikööri	14,4	33	5%	05.09.2020	Getränke	QUICK-Stop	Deutschland	Leverling
71	Fløtemysost	17,2	20	0%	06.09.2020	Milchprodukte	Vins et alcools Chevalier	Frankreich	Suyama
72	Mozzarella di Giovanni	27,8	7	0%	06.09.2020	Milchprodukte	Vins et alcools Chevalier	Frankreich	Suyama
24	Guaraná Fantástica	3,6	12	5%	07.09.2020	Getränke	Magazzini Alimentari Riuniti	Italien	Davolio
59	Raclette Courdavault	44	6	5%	07.09.2020	Milchprodukte	Magazzini Alimentari Riuniti	Italien	Davolio
10	Ikura	24,8	15	0%	08.09.2020	Meeresfrüchte	Tortuga Restaurante	Mexiko	Callahan
13	Konbu	4,8	10	0%	08.09.2020	Meeresfrüchte	Tortuga Restaurante	Mexiko	Callahan
28	Rössle Sauerkraut	36,4	20	0%	09.09.2020	Naturprodukte	Morgenstern Gesundkost	Deutschland	Fuller
62	Tarte au sucre	39,4	12	0%	09.09.2020	Süßwaren	Morgenstern Gesundkost	Deutschland	Fuller
44	Gula Malacca	15,5	16	0%	12.09.2020	Gewürze	Berglunds snabbköp	Schweden	Callahan
59	Raclette Courdavault	44	15	0%	12.09.2020	Milchprodukte	Berglunds snabbköp	Schweden	Callahan
63	Vegie-spread	35,1	8	0%	12.09.2020	Gewürze	Berglunds snabbköp	Schweden	Callahan
73	Röd Kaviar	12	25	0%	12.09.2020	Meeresfrüchte	Berglunds snabbköp	Schweden	Callahan
17	Alice Mutton	31,2	15	25%	13.09.2020	Fleischprodukte	Lehmanns Marktstand	Deutschland	Callahan
24	Guaraná Fantástica	3,6	12	0%	14.09.2020	Getränke	Berglunds snabbköp	Schweden	Fuller
55	Pâté chinois	19,2	20	0%	14.09.2020	Fleischprodukte	Berglunds snabbköp	Schweden	Fuller
75	Rhönbräu Klosterbier	6,2	30	0%	14.09.2020	Getränke	Berglunds snabbköp	Schweden	Fuller
19	Teatime Chocolate Biscuits	7,3	1	0%	14.09.2020	Süßwaren	Romero y tomillo	Spanien	Peacock
24	Guaraná Fantástica	3,6	6	0%	14.09.2020	Getränke	Romero y tomillo	Spanien	Peacock
35	Steeleye Stout	14,4	4	0%	14.09.2020	Getränke	Romero y tomillo	Spanien	Peacock
30	Nord-Ost Matjeshering	20,7	6	0%	15.09.2020	Meeresfrüchte	Romero y tomillo	Spanien	Peacock
57	Ravioli Angelo	15,6	2	0%	15.09.2020	Getreideprodukte	Romero y tomillo	Spanien	Peacock
15	Genen Shouyu	12,4	20	0%	16.09.2020	Gewürze	LILA-Supermercado	Venezuela	Leverling
19	Teatime Chocolate Biscuits	7,3	18	0%	16.09.2020	Süßwaren	LILA-Supermercado	Venezuela	Leverling
60	Camembert Pierrot	27,2	35	0%	16.09.2020	Milchprodukte	LILA-Supermercado	Venezuela	Leverling
72	Mozzarella di Giovanni	27,8	3	0%	16.09.2020	Milchprodukte	LILA-Supermercado	Venezuela	Leverling
27	Schoggi Schokolade	35,1	15	25%	19.09.2020	Süßwaren	Lehmanns Marktstand	Deutschland	Peacock
44	Gula Malacca	15,5	21	0%	19.09.2020	Gewürze	Lehmanns Marktstand	Deutschland	Peacock
60	Camembert Pierrot	27,2	20	25%	19.09.2020	Milchprodukte	Lehmanns Marktstand	Deutschland	Peacock
67	Laughing Lumberjack Lager	11,2	5	25%	19.09.2020	Getränke	Lehmanns Marktstand	Deutschland	Peacock
1	Chai	14,4	45	20%	20.09.2020	Getränke	QUICK-Stop	Deutschland	Davolio
40	Boston Crab Meat	14,7	40	20%	20.09.2020	Meeresfrüchte	QUICK-Stop	Deutschland	Davolio
53	Perth Pasties	26,2	36	20%	20.09.2020	Fleischprodukte	QUICK-Stop	Deutschland	Davolio
35	Steeleye Stout	14,4	100	0%	21.09.2020	Getränke	QUICK-Stop	Deutschland	Callahan
62	Tarte au sucre	39,4	40	0%	21.09.2020	Süßwaren	QUICK-Stop	Deutschland	Callahan
16	Pavlova	13,9	40	15%	22.09.2020	Süßwaren	Ricardo Adocicados	Brasilien	Callahan
34	Sasquatch Ale	11,2	20	0%	22.09.2020	Getränke	Ricardo Adocicados	Brasilien	Callahan
46	Spegesild	9,6	15	15%	22.09.2020	Meeresfrüchte	Ricardo Adocicados	Brasilien	Callahan
54	Tourtière	5,9	10	10%	23.09.2020	Fleischprodukte	Reggiani Caseifici	Italien	Peacock
68	Scottish Longbreads	10	3	10%	23.09.2020	Süßwaren	Reggiani Caseifici	Italien	Peacock
3	Aniseed Syrup	8	30	0%	26.09.2020	Gewürze	B's Beverages	Großbritannien	King
64	Wimmers gute Semmelknödel	26,6	9	0%	26.09.2020	Getreideprodukte	B's Beverages	Großbritannien	King
5	Chef Anton's Gumbo Mix	17	20	0%	27.09.2020	Gewürze	Comércio Mineiro	Brasilien	Callahan
